Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480
Accel,Accel,MOTION_XYZ32F,63
Gyro,Gyro,MOTION_XYZ32F,200


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,0,1621786863984.889,13.535
Depth,0,1,1621786864018.233,46.145
Depth,0,2,1621786864052.836,79.844
Depth,0,3,1621786864088.738,111.842
Depth,0,4,1621786864125.939,145.564
Depth,0,5,1621786864164.440,178.873
Depth,0,6,1621786864204.241,212.841
Depth,0,7,1621786864238.214,245.554
Depth,0,8,1621786864275.574,278.775
Depth,0,9,1621786864313.249,312.073
Depth,0,10,1621786864351.240,345.479
Depth,0,11,1621786864389.551,378.842
Depth,0,12,1621786864428.052,412.064
Depth,0,13,1621786864466.847,446.364
Depth,0,14,1621786864506.007,479.294
Depth,0,15,1621786864543.481,512.589
Depth,0,16,1621786864580.952,545.547
Depth,0,17,1621786864617.836,578.894
Depth,0,18,1621786864654.518,612.278
Depth,0,19,1621786864691.098,646.306
Depth,0,20,1621786864727.576,679.820
Depth,0,21,1621786864763.952,713.502
Depth,0,22,1621786864800.228,746.402
Depth,0,23,1621786864836.416,779.966
Depth,0,24,1621786864872.504,813.467
Depth,0,25,1621786864908.433,846.415
Depth,0,26,1621786864943.910,879.329
Depth,0,27,1621786864979.248,913.120
Depth,0,28,1621786865014.424,946.150
Depth,0,29,1621786865049.329,979.247
Depth,0,30,1621786865084.079,1012.368
Depth,0,31,1621786865118.674,1045.777
Depth,0,32,1621786865153.104,1079.135
Depth,0,33,1621786865187.377,1112.316
Depth,0,34,1621786865221.504,1148.120
Depth,0,35,1621786865255.531,1179.182
Depth,0,36,1621786865289.404,1212.307
Depth,0,37,1621786865323.124,1250.001
Depth,0,38,1621786865356.691,1278.924
Depth,0,39,1621786865390.105,1312.636
Depth,0,40,1621786865423.365,1345.801
Depth,0,41,1621786865456.965,1379.565
Depth,0,42,1621786865490.843,1412.305
Depth,0,43,1621786865524.621,1445.713
Depth,0,44,1621786865558.266,1479.322
Depth,0,45,1621786865591.779,1512.387
Depth,0,46,1621786865625.186,1546.130
Depth,0,47,1621786865658.504,1579.039
Depth,0,48,1621786865691.731,1613.141
Depth,0,49,1621786865724.852,1646.101
Depth,0,50,1621786865757.867,1679.705
Depth,0,51,1621786865790.776,1712.405
Depth,0,52,1621786865823.807,1745.975
Depth,0,53,1621786865856.742,1779.108
Depth,0,54,1621786865889.579,1812.667
Depth,0,55,1621786865922.320,1845.752
Depth,0,56,1621786865954.965,1879.319
Depth,0,57,1621786865987.511,1913.329
Depth,0,58,1621786866019.962,1945.993
Depth,0,59,1621786866052.316,1979.521
Depth,0,60,1621786866084.573,2012.806
Depth,0,61,1621786866116.734,2045.849
Depth,0,62,1621786866148.798,2079.313
Depth,0,63,1621786866180.765,2112.740
Depth,0,64,1621786866212.636,2145.997
Depth,0,65,1621786866244.409,2179.341
Depth,0,66,1621786866276.086,2212.980
Depth,0,67,1621786866307.667,2245.921
Depth,0,68,1621786866339.150,2279.242
Depth,0,69,1621786866370.537,2312.620
Depth,0,70,1621786866401.826,2345.914
Depth,0,71,1621786866433.020,2379.205
Depth,0,72,1621786866464.116,2412.612
Depth,0,73,1621786866495.116,2445.928
Depth,0,74,1621786866526.020,2479.475
Depth,0,75,1621786866556.826,2512.752
Depth,0,76,1621786866587.536,2545.952
Depth,0,77,1621786866618.149,2579.316
Depth,0,78,1621786866648.666,2612.760
Depth,0,79,1621786866679.085,2645.927
Depth,0,80,1621786866709.408,2679.255
Depth,0,81,1621786866739.668,2712.916
Depth,0,82,1621786866773.092,2745.940
Depth,0,83,1621786866806.395,2779.385
Depth,0,84,1621786866839.684,2812.792
Depth,0,85,1621786866872.962,2846.085
Depth,0,86,1621786866906.227,2879.350
Depth,0,87,1621786866939.479,2912.804
Depth,0,88,1621786866972.718,2946.113
Depth,0,89,1621786867005.944,2979.444
Depth,0,90,1621786867039.157,3012.932
Depth,0,91,1621786867072.358,3046.121
Depth,0,92,1621786867105.546,3079.547
Depth,0,93,1621786867138.721,3113.229
Depth,0,94,1621786867171.883,3147.025
Depth,0,95,1621786867205.032,3179.458
Depth,0,96,1621786867238.168,3212.894
Depth,0,97,1621786867271.291,3246.204
Depth,0,98,1621786867304.402,3279.476
Depth,0,99,1621786867337.500,3312.979
Depth,0,100,1621786867370.585,3346.342
Depth,0,101,1621786867403.657,3379.555
Depth,0,102,1621786867436.717,3413.100
Depth,0,103,1621786867469.763,3446.233
Depth,0,104,1621786867502.797,3479.564
Depth,0,105,1621786867535.818,3513.124
Depth,0,106,1621786867568.826,3546.510
Depth,0,107,1621786867601.821,3579.601
Depth,0,108,1621786867634.803,3613.011
Depth,0,109,1621786867667.773,3646.179
Depth,0,110,1621786867700.729,3679.591
Depth,0,111,1621786867733.673,3713.025
Depth,0,112,1621786867766.590,3747.634
Depth,0,113,1621786867799.441,3779.900
Depth,0,114,1621786867832.272,3813.049
Depth,0,115,1621786867865.085,3846.275
Depth,0,116,1621786867897.878,3879.653
Depth,0,117,1621786867930.653,3913.057
Depth,0,118,1621786867963.408,3946.368
Depth,0,119,1621786867996.144,3979.668
Depth,0,120,1621786868028.861,4013.058
Depth,0,121,1621786868061.559,4046.368
Depth,0,122,1621786868094.238,4079.737
Depth,0,123,1621786868126.898,4113.102
Depth,0,124,1621786868159.538,4146.428
Depth,0,125,1621786868192.159,4179.716
Depth,0,126,1621786868224.762,4213.166
Depth,0,127,1621786868257.345,4246.405
Depth,0,128,1621786868289.910,4279.971
Depth,0,129,1621786868322.455,4313.283
