Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480
Accel,Accel,MOTION_XYZ32F,63
Gyro,Gyro,MOTION_XYZ32F,200


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,0,1621786774692.581,12.503
Depth,0,1,1621786774725.925,45.026
Depth,0,2,1621786774760.517,78.478
Depth,0,3,1621786774796.412,110.978
Depth,0,4,1621786774833.611,145.057
Depth,0,5,1621786774872.114,177.761
Depth,0,6,1621786774911.921,211.016
Depth,0,7,1621786774951.574,244.659
Depth,0,8,1621786774991.378,277.903
Depth,0,9,1621786775031.898,311.077
Depth,0,10,1621786775073.133,344.551
Depth,0,11,1621786775115.083,378.057
Depth,0,12,1621786775157.748,411.254
Depth,0,13,1621786775200.345,445.114
Depth,0,14,1621786775240.844,478.435
Depth,0,15,1621786775281.521,511.378
Depth,0,16,1621786775322.379,545.445
Depth,0,17,1621786775363.414,578.307
Depth,0,18,1621786775403.401,611.548
Depth,0,19,1621786775441.744,644.989
Depth,0,20,1621786775479.913,680.143
Depth,0,21,1621786775517.513,711.781
Depth,0,22,1621786775554.366,744.942
Depth,0,23,1621786775590.944,778.496
Depth,0,24,1621786775627.151,811.923
Depth,0,25,1621786775662.943,845.091
Depth,0,26,1621786775698.438,878.700
Depth,0,27,1621786775733.657,911.637
Depth,0,28,1621786775768.608,944.907
Depth,0,29,1621786775803.265,978.533
Depth,0,30,1621786775837.692,1011.810
Depth,0,31,1621786775871.971,1044.781
Depth,0,32,1621786775905.970,1078.002
Depth,0,33,1621786775939.768,1111.273
Depth,0,34,1621786775973.490,1144.694
Depth,0,35,1621786776006.950,1178.048
Depth,0,36,1621786776040.240,1211.436
Depth,0,37,1621786776073.503,1244.711
Depth,0,38,1621786776106.524,1278.316
Depth,0,39,1621786776139.403,1311.554
Depth,0,40,1621786776172.296,1344.903
Depth,0,41,1621786776204.966,1378.159
Depth,0,42,1621786776237.518,1412.037
Depth,0,43,1621786776270.115,1445.167
Depth,0,44,1621786776302.507,1478.285
Depth,0,45,1621786776334.803,1511.515
Depth,0,46,1621786776367.167,1544.709
Depth,0,47,1621786776399.346,1578.483
Depth,0,48,1621786776431.446,1611.397
Depth,0,49,1621786776463.631,1645.354
Depth,0,50,1621786776495.647,1678.182
Depth,0,51,1621786776527.495,1711.857
Depth,0,52,1621786776559.173,1744.832
Depth,0,53,1621786776590.683,1778.390
Depth,0,54,1621786776622.024,1811.623
Depth,0,55,1621786776653.196,1844.854
Depth,0,56,1621786776684.199,1878.404
Depth,0,57,1621786776715.033,1911.491
Depth,0,58,1621786776745.699,1945.660
Depth,0,59,1621786776776.196,1978.228
Depth,0,60,1621786776806.524,2011.553
Depth,0,61,1621786776836.684,2044.857
Depth,0,62,1621786776866.674,2079.263
Depth,0,63,1621786776896.496,2111.575
Depth,0,64,1621786776926.149,2145.027
Depth,0,65,1621786776955.633,2178.443
Depth,0,66,1621786776984.949,2212.726
Depth,0,67,1621786777014.095,2245.251
Depth,0,68,1621786777043.073,2278.461
Depth,0,69,1621786777071.882,2311.817
Depth,0,70,1621786777100.521,2344.928
Depth,0,71,1621786777128.993,2378.335
Depth,0,72,1621786777157.296,2411.611
Depth,0,73,1621786777185.429,2444.966
Depth,0,74,1621786777213.395,2478.638
Depth,0,75,1621786777241.191,2511.857
Depth,0,76,1621786777268.818,2545.102
Depth,0,77,1621786777296.277,2578.390
Depth,0,78,1621786777325.394,2611.966
Depth,0,79,1621786777358.687,2644.997
Depth,0,80,1621786777391.979,2678.579
Depth,0,81,1621786777425.269,2711.687
Depth,0,82,1621786777458.557,2745.013
Depth,0,83,1621786777491.844,2778.489
Depth,0,84,1621786777525.129,2811.689
Depth,0,85,1621786777558.413,2845.089
Depth,0,86,1621786777591.696,2878.381
Depth,0,87,1621786777624.978,2912.112
Depth,0,88,1621786777658.258,2945.166
Depth,0,89,1621786777691.536,2979.093
Depth,0,90,1621786777724.813,3012.222
Depth,0,91,1621786777758.089,3045.241
Depth,0,92,1621786777791.363,3078.507
Depth,0,93,1621786777824.635,3112.022
Depth,0,94,1621786777857.906,3145.307
Depth,0,95,1621786777891.177,3178.490
Depth,0,96,1621786777924.445,3212.080
Depth,0,97,1621786777957.711,3245.105
Depth,0,98,1621786777990.976,3279.397
Depth,0,99,1621786778024.240,3312.034
Depth,0,100,1621786778057.503,3345.229
Depth,0,101,1621786778090.764,3378.621
Depth,0,102,1621786778124.023,3412.081
Depth,0,103,1621786778157.281,3445.195
Depth,0,104,1621786778190.538,3478.716
Depth,0,105,1621786778223.793,3512.250
Depth,0,106,1621786778257.047,3545.363
Depth,0,107,1621786778290.300,3578.781
Depth,0,108,1621786778323.453,3611.996
Depth,0,109,1621786778356.361,3645.239
Depth,0,110,1621786778389.254,3678.761
Depth,0,111,1621786778422.133,3712.159
Depth,0,112,1621786778454.998,3745.255
Depth,0,113,1621786778487.848,3778.712
Depth,0,114,1621786778520.684,3812.022
Depth,0,115,1621786778553.505,3845.325
Depth,0,116,1621786778586.312,3879.164
Depth,0,117,1621786778619.104,3912.061
Depth,0,118,1621786778651.883,3945.384
Depth,0,119,1621786778684.646,3978.701
Depth,0,120,1621786778717.395,4012.234
Depth,0,121,1621786778750.130,4045.349
Depth,0,122,1621786778782.850,4078.732
Depth,0,123,1621786778815.556,4112.144
Depth,0,124,1621786778848.246,4145.482
Depth,0,125,1621786778880.923,4178.802
Depth,0,126,1621786778913.585,4212.462
Depth,0,127,1621786778946.233,4245.402
Depth,0,128,1621786778978.867,4279.360
Depth,0,129,1621786779011.486,4312.216
Depth,0,130,1621786779044.091,4345.811
Depth,0,131,1621786779076.681,4378.795
Depth,0,132,1621786779109.256,4413.294
Depth,0,133,1621786779141.818,4445.569
Depth,0,134,1621786779174.365,4479.194
Depth,0,135,1621786779206.897,4512.214
Depth,0,136,1621786779239.415,4545.834
Depth,0,137,1621786779271.917,4578.818
Depth,0,138,1621786779304.662,4612.614
Depth,0,139,1621786779338.019,4645.670
Depth,0,140,1621786779371.380,4679.305
Depth,0,141,1621786779404.744,4712.424
Depth,0,142,1621786779438.113,4745.996
Depth,0,143,1621786779471.485,4778.817
Depth,0,144,1621786779504.862,4812.684
Depth,0,145,1621786779538.242,4845.484
Depth,0,146,1621786779571.627,4879.298
Depth,0,147,1621786779605.015,4912.287
Depth,0,148,1621786779638.407,4945.736
Depth,0,149,1621786779671.804,4979.224
Depth,0,150,1621786779705.203,5012.862
Depth,0,151,1621786779738.608,5045.814
Depth,0,152,1621786779772.016,5080.071
Depth,0,153,1621786779805.428,5112.740
Depth,0,154,1621786779838.844,5145.817
Depth,0,155,1621786779872.265,5179.198
Depth,0,156,1621786779905.689,5212.621
Depth,0,157,1621786779939.117,5245.747
Depth,0,158,1621786779972.549,5279.038
Depth,0,159,1621786780005.985,5312.411
Depth,0,160,1621786780039.425,5345.823
Depth,0,161,1621786780072.869,5379.065
Depth,0,162,1621786780106.317,5412.364
Depth,0,163,1621786780139.769,5445.678
Depth,0,164,1621786780173.224,5479.197
Depth,0,165,1621786780206.684,5512.571
Depth,0,166,1621786780240.148,5545.907
Depth,0,167,1621786780273.616,5579.254
Depth,0,168,1621786780307.079,5612.486
Depth,0,169,1621786780340.590,5645.922
Depth,0,170,1621786780374.106,5679.666
Depth,0,171,1621786780407.630,5713.085
Depth,0,172,1621786780441.159,5745.854
Depth,0,173,1621786780474.695,5779.090
Depth,0,174,1621786780508.237,5812.465
Depth,0,175,1621786780541.786,5845.775
Depth,0,176,1621786780575.341,5879.193
Depth,0,177,1621786780608.901,5912.668
Depth,0,178,1621786780642.469,5946.031
Depth,0,179,1621786780676.043,5979.136
Depth,0,180,1621786780709.624,6012.703
Depth,0,181,1621786780743.210,6045.990
Depth,0,182,1621786780776.803,6079.362
Depth,0,183,1621786780810.403,6112.960
Depth,0,184,1621786780844.009,6145.834
Depth,0,185,1621786780877.622,6179.338
Depth,0,186,1621786780911.240,6212.674
Depth,0,187,1621786780944.865,6245.911
Depth,0,188,1621786780978.497,6279.179
Depth,0,189,1621786781012.135,6312.796
Depth,0,190,1621786781045.778,6346.067
Depth,0,191,1621786781079.429,6379.251
Depth,0,192,1621786781113.086,6412.814
Depth,0,193,1621786781146.749,6446.060
Depth,0,194,1621786781180.419,6479.282
Depth,0,195,1621786781214.095,6512.697
Depth,0,196,1621786781247.778,6545.914
Depth,0,197,1621786781281.466,6579.359
Depth,0,198,1621786781315.104,6612.852
Depth,0,199,1621786781348.617,6646.036
Depth,0,200,1621786781382.136,6679.339
Depth,0,201,1621786781415.659,6713.493
Depth,0,202,1621786781449.188,6745.986
Depth,0,203,1621786781482.722,6779.581
Depth,0,204,1621786781516.260,6812.749
Depth,0,205,1621786781549.803,6846.153
Depth,0,206,1621786781583.352,6879.415
Depth,0,207,1621786781616.906,6913.001
Depth,0,208,1621786781650.465,6946.107
Depth,0,209,1621786781684.030,6982.248
Depth,0,210,1621786781717.599,7012.905
Depth,0,211,1621786781751.173,7046.298
Depth,0,212,1621786781784.753,7079.468
Depth,0,213,1621786781818.337,7113.014
Depth,0,214,1621786781851.927,7146.559
Depth,0,215,1621786781885.522,7179.888
Depth,0,216,1621786781919.122,7212.921
Depth,0,217,1621786781952.725,7246.182
Depth,0,218,1621786781986.335,7279.504
Depth,0,219,1621786782019.950,7312.807
Depth,0,220,1621786782053.571,7345.931
Depth,0,221,1621786782087.196,7379.593
Depth,0,222,1621786782120.826,7412.864
Depth,0,223,1621786782154.461,7446.209
Depth,0,224,1621786782188.102,7479.930
Depth,0,225,1621786782221.748,7513.241
Depth,0,226,1621786782255.398,7546.334
Depth,0,227,1621786782289.054,7579.687
Depth,0,228,1621786782322.648,7612.906
Depth,0,229,1621786782355.977,7646.151
Depth,0,230,1621786782389.704,7679.634
Depth,0,231,1621786782423.841,7714.293
Depth,0,232,1621786782457.986,7746.182
Depth,0,233,1621786782492.141,7779.683
Depth,0,234,1621786782526.305,7812.939
Depth,0,235,1621786782560.479,7846.252
Depth,0,236,1621786782594.661,7879.591
Depth,0,237,1621786782628.853,7912.745
Depth,0,238,1621786782663.054,7946.269
Depth,0,239,1621786782697.265,7979.707
Depth,0,240,1621786782731.485,8012.940
Depth,0,241,1621786782765.714,8046.261
Depth,0,242,1621786782799.952,8079.617
Depth,0,243,1621786782834.199,8113.184
Depth,0,244,1621786782868.455,8146.352
Depth,0,245,1621786782902.721,8179.465
Depth,0,246,1621786782936.997,8213.239
Depth,0,247,1621786782971.281,8246.304
Depth,0,248,1621786783005.575,8280.149
Depth,0,249,1621786783039.879,8313.062
Depth,0,250,1621786783074.191,8346.457
Depth,0,251,1621786783108.513,8379.783
Depth,0,252,1621786783142.844,8413.294
Depth,0,253,1621786783177.184,8446.469
Depth,0,254,1621786783211.534,8479.930
Depth,0,255,1621786783245.893,8513.089
Depth,0,256,1621786783280.261,8546.468
Depth,0,257,1621786783314.637,8579.853
Depth,0,258,1621786783349.024,8613.406
Depth,0,259,1621786783383.420,8646.444
Depth,0,260,1621786783417.195,8680.275
Depth,0,261,1621786783450.357,8713.916
Depth,0,262,1621786783483.517,8746.635
Depth,0,263,1621786783516.674,8779.961
Depth,0,264,1621786783549.827,8813.188
Depth,0,265,1621786783582.978,8846.520
Depth,0,266,1621786783616.126,8879.983
Depth,0,267,1621786783649.271,8913.151
Depth,0,268,1621786783682.413,8946.539
Depth,0,269,1621786783715.553,8980.031
Depth,0,270,1621786783748.688,9013.175
Depth,0,271,1621786783781.822,9046.572
Depth,0,272,1621786783814.952,9079.999
Depth,0,273,1621786783848.080,9113.385
Depth,0,274,1621786783881.205,9146.614
Depth,0,275,1621786783914.327,9180.036
Depth,0,276,1621786783947.446,9213.323
Depth,0,277,1621786783980.562,9246.630
Depth,0,278,1621786784013.675,9280.374
Depth,0,279,1621786784046.785,9313.358
Depth,0,280,1621786784079.893,9346.691
Depth,0,281,1621786784112.998,9380.460
Depth,0,282,1621786784146.099,9413.507
Depth,0,283,1621786784179.198,9446.835
Depth,0,284,1621786784212.293,9480.419
Depth,0,285,1621786784245.386,9513.789
Depth,0,286,1621786784278.476,9546.772
Depth,0,287,1621786784311.563,9580.674
Depth,0,288,1621786784344.648,9613.374
Depth,0,289,1621786784377.729,9647.470
Depth,0,290,1621786784410.880,9680.336
Depth,0,291,1621786784444.094,9717.092
Depth,0,292,1621786784477.307,9746.972
Depth,0,293,1621786784510.518,9783.100
Depth,0,294,1621786784543.727,9813.428
Depth,0,295,1621786784576.935,9847.470
Depth,0,296,1621786784610.140,9880.271
Depth,0,297,1621786784643.343,9914.344
Depth,0,298,1621786784676.545,9946.948
Depth,0,299,1621786784709.745,9980.608
Depth,0,300,1621786784742.943,10013.492
Depth,0,301,1621786784776.139,10047.005
Depth,0,302,1621786784809.334,10080.259
Depth,0,303,1621786784842.527,10114.023
Depth,0,304,1621786784875.718,10147.070
Depth,0,305,1621786784908.907,10180.721
Depth,0,306,1621786784942.094,10213.932
Depth,0,307,1621786784975.280,10246.991
Depth,0,308,1621786785008.464,10280.468
Depth,0,309,1621786785041.646,10314.436
Depth,0,310,1621786785074.825,10347.075
Depth,0,311,1621786785108.003,10380.560
Depth,0,312,1621786785141.180,10413.599
Depth,0,313,1621786785174.354,10447.260
Depth,0,314,1621786785207.528,10480.525
Depth,0,315,1621786785240.698,10513.723
Depth,0,316,1621786785273.868,10546.983
Depth,0,317,1621786785307.035,10580.448
Depth,0,318,1621786785340.201,10613.626
Depth,0,319,1621786785373.365,10646.970
Depth,0,320,1621786785406.572,10680.547
Depth,0,321,1621786785439.818,10713.847
Depth,0,322,1621786785473.063,10746.995
Depth,0,323,1621786785506.307,10780.756
Depth,0,324,1621786785539.549,10814.112
Depth,0,325,1621786785572.790,10847.365
Depth,0,326,1621786785606.031,10880.687
Depth,0,327,1621786785639.270,10913.979
Depth,0,328,1621786785672.507,10947.024
Depth,0,329,1621786785705.744,10980.763
Depth,0,330,1621786785738.979,11013.746
Depth,0,331,1621786785772.213,11048.718
Depth,0,332,1621786785805.446,11080.446
Depth,0,333,1621786785838.678,11113.881
Depth,0,334,1621786785871.908,11147.088
Depth,0,335,1621786785905.138,11180.573
Depth,0,336,1621786785938.366,11213.906
Depth,0,337,1621786785971.592,11247.504
Depth,0,338,1621786786004.818,11280.726
Depth,0,339,1621786786038.042,11314.655
Depth,0,340,1621786786071.265,11347.216
