Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480
Accel,Accel,MOTION_XYZ32F,63
Gyro,Gyro,MOTION_XYZ32F,200


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,6,1629057992836.693,42.383
Depth,0,7,1629057992877.390,63.982
Depth,0,8,1629057992919.189,97.795
Depth,0,9,1629057992960.285,130.598
Depth,0,10,1629057993000.085,165.657
Depth,0,11,1629057993040.225,198.636
Depth,0,12,1629057993080.704,231.161
Depth,0,13,1629057993121.524,265.793
Depth,0,14,1629057993162.683,299.079
Depth,0,15,1629057993203.491,331.243
Depth,0,16,1629057993242.945,364.820
Depth,0,17,1629057993282.431,399.111
Depth,0,18,1629057993321.424,431.229
Depth,0,19,1629057993358.981,465.090
Depth,0,20,1629057993396.340,497.903
Depth,0,21,1629057993433.378,531.020
Depth,0,22,1629057993469.775,563.980
Depth,0,23,1629057993505.912,597.413
Depth,0,24,1629057993541.772,630.797
Depth,0,25,1629057993577.270,664.155
Depth,0,26,1629057993612.495,698.091
Depth,0,27,1629057993647.447,731.453
Depth,0,28,1629057993682.220,764.188
Depth,0,29,1629057993716.725,797.773
Depth,0,30,1629057993750.934,831.211
Depth,0,31,1629057993785.111,864.250
Depth,0,32,1629057993819.034,897.769
Depth,0,33,1629057993852.662,930.968
Depth,0,34,1629057993886.338,964.501
Depth,0,35,1629057993919.777,997.709
Depth,0,36,1629057993952.977,1032.086
Depth,0,37,1629057993986.160,1068.483
Depth,0,38,1629057994019.222,1098.272
Depth,0,39,1629057994052.065,1132.905
Depth,0,40,1629057994084.899,1166.048
Depth,0,41,1629057994117.651,1197.785
Depth,0,42,1629057994150.201,1233.343
Depth,0,43,1629057994182.729,1265.912
Depth,0,44,1629057994215.244,1299.381
Depth,0,45,1629057994247.577,1332.190
Depth,0,46,1629057994279.854,1364.600
Depth,0,47,1629057994312.192,1398.079
Depth,0,48,1629057994344.364,1433.179
Depth,0,49,1629057994376.442,1464.820
Depth,0,50,1629057994408.649,1499.055
Depth,0,51,1629057994440.706,1531.607
Depth,0,52,1629057994472.612,1566.279
Depth,0,53,1629057994504.368,1599.183
Depth,0,54,1629057994535.972,1631.503
Depth,0,55,1629057994567.426,1666.273
Depth,0,56,1629057994598.729,1699.367
Depth,0,57,1629057994629.880,1732.570
Depth,0,58,1629057994660.881,1764.974
Depth,0,59,1629057994691.732,1799.398
Depth,0,60,1629057994722.432,1831.612
Depth,0,61,1629057994752.980,1864.826
Depth,0,62,1629057994783.379,1899.386
Depth,0,63,1629057994813.626,1931.723
Depth,0,64,1629057994843.722,1966.509
Depth,0,65,1629057994873.668,1998.107
Depth,0,66,1629057994903.463,2032.251
Depth,0,67,1629057994933.107,2064.881
Depth,0,68,1629057994962.601,2100.945
Depth,0,69,1629057994991.943,2131.553
Depth,0,70,1629057995021.135,2165.641
Depth,0,71,1629057995050.175,2199.402
Depth,0,72,1629057995079.065,2231.638
Depth,0,73,1629057995107.805,2265.681
Depth,0,74,1629057995136.394,2298.433
Depth,0,75,1629057995164.831,2332.921
Depth,0,76,1629057995193.118,2364.771
Depth,0,77,1629057995221.255,2401.325
Depth,0,78,1629057995249.240,2431.723
Depth,0,79,1629057995278.249,2465.578
Depth,0,80,1629057995311.551,2500.144
Depth,0,81,1629057995344.852,2531.944
Depth,0,82,1629057995378.151,2566.390
Depth,0,83,1629057995411.448,2598.015
Depth,0,84,1629057995444.743,2632.191
Depth,0,85,1629057995478.037,2664.962
Depth,0,86,1629057995511.329,2699.329
Depth,0,87,1629057995544.620,2732.280
Depth,0,88,1629057995577.909,2765.608
Depth,0,89,1629057995611.197,2799.978
Depth,0,90,1629057995644.482,2831.448
Depth,0,91,1629057995677.767,2866.170
Depth,0,92,1629057995711.049,2898.111
Depth,0,93,1629057995744.330,2931.370
Depth,0,94,1629057995777.609,2966.818
Depth,0,95,1629057995810.886,2999.812
Depth,0,96,1629057995844.162,3031.775
Depth,0,97,1629057995877.435,3065.756
Depth,0,98,1629057995910.708,3100.129
Depth,0,99,1629057995943.979,3132.622
Depth,0,100,1629057995977.248,3166.984
Depth,0,101,1629057996010.515,3198.372
Depth,0,102,1629057996043.781,3231.846
Depth,0,103,1629057996077.045,3265.457
Depth,0,104,1629057996110.308,3300.114
Depth,0,105,1629057996143.569,3333.303
Depth,0,106,1629057996176.828,3366.636
Depth,0,107,1629057996210.085,3399.863
Depth,0,108,1629057996243.341,3431.741
Depth,0,109,1629057996276.596,3466.555
Depth,0,110,1629057996309.550,3499.199
Depth,0,111,1629057996342.490,3532.234
Depth,0,112,1629057996375.419,3565.537
Depth,0,113,1629057996408.334,3600.462
Depth,0,114,1629057996441.236,3633.661
Depth,0,115,1629057996474.125,3667.113
Depth,0,116,1629057996507.001,3699.939
Depth,0,117,1629057996539.865,3732.441
Depth,0,118,1629057996572.715,3766.808
Depth,0,119,1629057996605.552,3799.437
Depth,0,120,1629057996638.376,3833.430
Depth,0,121,1629057996671.187,3865.651
Depth,0,122,1629057996703.985,3900.200
Depth,0,123,1629057996736.770,3931.992
Depth,0,124,1629057996769.541,3966.972
Depth,0,125,1629057996802.300,4000.312
Depth,0,126,1629057996835.046,4032.047
Depth,0,127,1629057996867.779,4066.395
Depth,0,128,1629057996900.498,4099.074
Depth,0,129,1629057996933.205,4133.677
Depth,0,130,1629057996965.899,4165.181
Depth,0,131,1629057996998.580,4199.834
Depth,0,132,1629057997031.248,4231.869
Depth,0,133,1629057997063.902,4267.367
Depth,0,134,1629057997096.544,4300.335
Depth,0,135,1629057997129.173,4332.459
Depth,0,136,1629057997161.788,4366.924
Depth,0,137,1629057997194.390,4398.702
Depth,0,138,1629057997226.979,4433.426
Depth,0,139,1629057997259.547,4465.262
Depth,0,140,1629057997292.897,4500.332
Depth,0,141,1629057997326.250,4532.120
Depth,0,142,1629057997359.607,4566.916
Depth,0,143,1629057997392.967,4599.209
Depth,0,144,1629057997426.330,4632.801
Depth,0,145,1629057997459.697,4665.706
Depth,0,146,1629057997493.066,4699.755
Depth,0,147,1629057997526.440,4732.120
Depth,0,148,1629057997559.816,4765.477
Depth,0,149,1629057997593.196,4800.408
Depth,0,150,1629057997626.579,4831.995
Depth,0,151,1629057997659.965,4867.243
Depth,0,152,1629057997693.355,4900.273
Depth,0,153,1629057997726.748,4933.742
Depth,0,154,1629057997760.144,4966.908
Depth,0,155,1629057997793.544,4998.694
Depth,0,156,1629057997826.947,5032.020
Depth,0,157,1629057997860.354,5065.651
Depth,0,158,1629057997893.763,5100.252
Depth,0,159,1629057997927.177,5132.928
Depth,0,160,1629057997960.593,5166.817
Depth,0,161,1629057997994.013,5199.210
Depth,0,162,1629057998027.436,5233.602
Depth,0,163,1629057998060.862,5267.616
Depth,0,164,1629057998094.291,5298.727
Depth,0,165,1629057998127.724,5333.661
Depth,0,166,1629057998161.160,5365.518
Depth,0,167,1629057998194.600,5400.429
Depth,0,168,1629057998228.043,5432.430
Depth,0,169,1629057998261.458,5466.995
Depth,0,170,1629057998294.983,5499.422
Depth,0,171,1629057998328.513,5534.463
Depth,0,172,1629057998362.051,5565.324
Depth,0,173,1629057998395.594,5599.262
Depth,0,174,1629057998429.145,5633.335
Depth,0,175,1629057998462.701,5665.756
Depth,0,176,1629057998496.265,5699.087
Depth,0,177,1629057998529.834,5732.769
Depth,0,178,1629057998563.410,5765.673
Depth,0,179,1629057998596.993,5800.427
Depth,0,180,1629057998630.583,5833.766
Depth,0,181,1629057998664.179,5867.556
Depth,0,182,1629057998697.782,5899.602
Depth,0,183,1629057998731.391,5933.952
Depth,0,184,1629057998765.007,5966.171
Depth,0,185,1629057998798.629,6000.764
Depth,0,186,1629057998832.258,6032.279
Depth,0,187,1629057998865.894,6067.077
Depth,0,188,1629057998899.536,6099.142
Depth,0,189,1629057998933.184,6134.394
Depth,0,190,1629057998966.840,6167.085
Depth,0,191,1629057999000.500,6199.529
Depth,0,192,1629057999034.169,6233.725
Depth,0,193,1629057999067.844,6265.799
Depth,0,194,1629057999101.525,6300.380
Depth,0,195,1629057999135.213,6332.450
Depth,0,196,1629057999168.907,6366.921
Depth,0,197,1629057999202.608,6400.703
Depth,0,198,1629057999236.316,6433.843
Depth,0,199,1629057999270.030,6467.562
Depth,0,200,1629057999303.541,6500.475
Depth,0,201,1629057999337.026,6534.167
Depth,0,202,1629057999370.515,6565.755
Depth,0,203,1629057999404.009,6600.542
Depth,0,204,1629057999437.505,6632.643
Depth,0,205,1629057999471.007,6667.747
Depth,0,206,1629057999504.513,6699.974
Depth,0,207,1629057999538.024,6733.358
Depth,0,208,1629057999571.538,6765.636
Depth,0,209,1629057999605.057,6801.053
Depth,0,210,1629057999638.579,6833.814
Depth,0,211,1629057999672.106,6866.167
Depth,0,212,1629057999705.637,6900.663
Depth,0,213,1629057999739.172,6932.898
Depth,0,214,1629057999772.712,6966.036
Depth,0,215,1629057999806.255,6999.741
Depth,0,216,1629057999839.803,7032.794
Depth,0,217,1629057999873.354,7065.763
Depth,0,218,1629057999906.910,7100.934
Depth,0,219,1629057999940.470,7133.380
Depth,0,220,1629057999974.034,7166.351
Depth,0,221,1629058000007.603,7199.655
Depth,0,222,1629058000041.175,7232.697
Depth,0,223,1629058000074.752,7267.933
Depth,0,224,1629058000108.333,7299.422
Depth,0,225,1629058000141.918,7333.997
Depth,0,226,1629058000175.507,7366.116
Depth,0,227,1629058000209.101,7401.672
Depth,0,228,1629058000242.698,7433.809
Depth,0,229,1629058000276.300,7466.792
Depth,0,230,1629058000309.709,7500.824
Depth,0,231,1629058000343.105,7532.801
Depth,0,232,1629058000377.099,7567.685
Depth,0,233,1629058000411.099,7599.369
Depth,0,234,1629058000445.107,7633.778
Depth,0,235,1629058000479.122,7667.368
Depth,0,236,1629058000513.144,7702.977
Depth,0,237,1629058000547.173,7733.904
Depth,0,238,1629058000581.210,7766.048
Depth,0,239,1629058000615.253,7801.027
Depth,0,240,1629058000649.304,7833.029
Depth,0,241,1629058000683.362,7867.724
Depth,0,242,1629058000717.427,7899.333
Depth,0,243,1629058000751.500,7934.604
Depth,0,244,1629058000785.578,7966.392
Depth,0,245,1629058000819.665,8001.412
Depth,0,246,1629058000853.758,8033.333
Depth,0,247,1629058000887.859,8069.467
Depth,0,248,1629058000921.967,8101.076
Depth,0,249,1629058000956.083,8133.193
Depth,0,250,1629058000990.205,8168.038
Depth,0,251,1629058001024.335,8199.637
Depth,0,252,1629058001058.471,8234.314
Depth,0,253,1629058001092.615,8267.591
Depth,0,254,1629058001126.767,8301.829
Depth,0,255,1629058001160.925,8332.996
Depth,0,256,1629058001195.091,8368.328
Depth,0,257,1629058001229.262,8401.006
Depth,0,258,1629058001263.442,8432.823
