Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480
Accel,Accel,MOTION_XYZ32F,63
Gyro,Gyro,MOTION_XYZ32F,200


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,4,1629058174193.921,35.046
Depth,0,5,1629058174232.695,53.236
Depth,0,6,1629058174272.640,87.108
Depth,0,7,1629058174313.755,120.796
Depth,0,8,1629058174354.708,153.552
Depth,0,9,1629058174394.809,187.326
Depth,0,10,1629058174435.405,221.638
Depth,0,11,1629058174475.611,255.206
Depth,0,12,1629058174514.034,288.035
Depth,0,13,1629058174552.415,322.000
Depth,0,14,1629058174590.531,353.859
Depth,0,15,1629058174627.974,387.549
Depth,0,16,1629058174665.250,421.625
Depth,0,17,1629058174702.299,453.969
Depth,0,18,1629058174738.916,486.811
Depth,0,19,1629058174775.323,520.164
Depth,0,20,1629058174811.510,553.691
Depth,0,21,1629058174847.405,586.885
Depth,0,22,1629058174883.078,620.157
Depth,0,23,1629058174918.527,653.536
Depth,0,24,1629058174953.799,687.285
Depth,0,25,1629058174988.851,720.381
Depth,0,26,1629058175023.661,753.643
Depth,0,27,1629058175058.396,786.950
Depth,0,28,1629058175092.918,821.130
Depth,0,29,1629058175127.191,853.534
Depth,0,30,1629058175161.463,887.083
Depth,0,31,1629058175195.535,920.229
Depth,0,32,1629058175229.407,953.737
Depth,0,33,1629058175263.225,987.221
Depth,0,34,1629058175296.925,1020.968
Depth,0,35,1629058175330.438,1054.843
Depth,0,36,1629058175363.894,1086.866
Depth,0,37,1629058175397.290,1120.478
Depth,0,38,1629058175430.514,1155.296
Depth,0,39,1629058175463.664,1188.034
Depth,0,40,1629058175496.812,1220.689
Depth,0,41,1629058175529.803,1253.894
Depth,0,42,1629058175562.712,1288.132
Depth,0,43,1629058175595.655,1320.475
Depth,0,44,1629058175628.452,1355.486
Depth,0,45,1629058175661.144,1387.071
Depth,0,46,1629058175693.929,1422.341
Depth,0,47,1629058175726.580,1454.190
Depth,0,48,1629058175759.101,1488.522
Depth,0,49,1629058175791.489,1521.971
Depth,0,50,1629058175823.745,1555.110
Depth,0,51,1629058175855.869,1588.568
Depth,0,52,1629058175887.861,1621.042
Depth,0,53,1629058175919.720,1655.028
Depth,0,54,1629058175951.448,1687.145
Depth,0,55,1629058175983.043,1721.867
Depth,0,56,1629058176014.506,1755.345
Depth,0,57,1629058176045.836,1789.158
Depth,0,58,1629058176077.035,1820.716
Depth,0,59,1629058176108.101,1854.626
Depth,0,60,1629058176139.034,1888.768
Depth,0,61,1629058176169.836,1920.465
Depth,0,62,1629058176200.506,1955.435
Depth,0,63,1629058176231.044,1987.323
Depth,0,64,1629058176261.449,2020.608
Depth,0,65,1629058176291.722,2053.837
Depth,0,66,1629058176321.863,2090.055
Depth,0,67,1629058176351.872,2121.969
Depth,0,68,1629058176381.749,2155.932
Depth,0,69,1629058176411.493,2187.379
Depth,0,70,1629058176441.105,2220.799
Depth,0,71,1629058176470.585,2255.364
Depth,0,72,1629058176499.933,2287.276
Depth,0,73,1629058176529.148,2322.754
Depth,0,74,1629058176558.231,2355.163
Depth,0,75,1629058176587.900,2387.069
Depth,0,76,1629058176621.277,2420.674
Depth,0,77,1629058176654.648,2456.184
Depth,0,78,1629058176688.013,2488.290
Depth,0,79,1629058176721.373,2521.408
Depth,0,80,1629058176754.726,2555.624
Depth,0,81,1629058176788.074,2587.539
Depth,0,82,1629058176821.417,2622.284
Depth,0,83,1629058176854.753,2653.973
Depth,0,84,1629058176888.084,2688.642
Depth,0,85,1629058176921.409,2722.370
Depth,0,86,1629058176954.729,2755.706
Depth,0,87,1629058176988.042,2788.920
Depth,0,88,1629058177021.349,2821.477
Depth,0,89,1629058177054.652,2855.710
Depth,0,90,1629058177087.948,2887.499
Depth,0,91,1629058177121.239,2922.400
Depth,0,92,1629058177154.524,2954.011
Depth,0,93,1629058177187.803,2989.182
Depth,0,94,1629058177221.076,3022.140
Depth,0,95,1629058177254.344,3055.749
Depth,0,96,1629058177287.606,3088.871
Depth,0,97,1629058177320.863,3123.415
Depth,0,98,1629058177354.113,3155.911
Depth,0,99,1629058177387.358,3187.971
Depth,0,100,1629058177420.596,3222.581
Depth,0,101,1629058177453.830,3254.058
Depth,0,102,1629058177487.057,3288.515
Depth,0,103,1629058177520.279,3322.317
Depth,0,104,1629058177553.495,3355.754
Depth,0,105,1629058177586.726,3387.717
Depth,0,106,1629058177619.719,3421.452
Depth,0,107,1629058177652.697,3454.477
Depth,0,108,1629058177685.660,3487.650
Depth,0,109,1629058177718.608,3522.169
Depth,0,110,1629058177751.541,3555.189
Depth,0,111,1629058177784.459,3588.131
Depth,0,112,1629058177817.362,3621.236
Depth,0,113,1629058177850.250,3656.645
Depth,0,114,1629058177883.123,3688.837
Depth,0,115,1629058177915.981,3722.914
Depth,0,116,1629058177948.824,3755.859
Depth,0,117,1629058177981.652,3787.784
Depth,0,118,1629058178014.466,3821.284
Depth,0,119,1629058178047.264,3854.525
Depth,0,120,1629058178080.047,3888.992
Depth,0,121,1629058178112.816,3921.375
Depth,0,122,1629058178145.569,3955.776
Depth,0,123,1629058178178.308,3987.903
Depth,0,124,1629058178211.031,4024.329
Depth,0,125,1629058178243.740,4054.635
Depth,0,126,1629058178276.433,4087.953
Depth,0,127,1629058178309.111,4123.243
Depth,0,128,1629058178341.774,4156.062
Depth,0,129,1629058178374.423,4188.079
Depth,0,130,1629058178407.057,4220.940
Depth,0,131,1629058178439.676,4256.624
Depth,0,132,1629058178472.279,4288.795
Depth,0,133,1629058178504.868,4321.878
Depth,0,134,1629058178537.442,4355.821
