Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480
Accel,Accel,MOTION_XYZ32F,63
Gyro,Gyro,MOTION_XYZ32F,200


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,4,1629057772701.556,36.974
Depth,0,5,1629057772740.417,58.116
Depth,0,6,1629057772780.438,92.896
Depth,0,7,1629057772821.617,126.551
Depth,0,8,1629057772861.577,160.260
Depth,0,9,1629057772901.115,192.922
Depth,0,10,1629057772941.057,226.004
Depth,0,11,1629057772981.401,260.338
Depth,0,12,1629057773022.147,292.974
Depth,0,13,1629057773063.296,326.917
Depth,0,14,1629057773103.884,359.521
Depth,0,15,1629057773143.302,392.919
Depth,0,16,1629057773182.785,426.269
Depth,0,17,1629057773221.573,462.720
Depth,0,18,1629057773259.184,494.415
Depth,0,19,1629057773296.618,527.403
Depth,0,20,1629057773333.688,558.265
Depth,0,21,1629057773370.185,591.679
Depth,0,22,1629057773406.441,624.781
Depth,0,23,1629057773442.417,658.390
Depth,0,24,1629057773478.044,691.603
Depth,0,25,1629057773513.414,724.970
Depth,0,26,1629057773548.537,758.159
Depth,0,27,1629057773583.456,791.874
Depth,0,28,1629057773618.121,825.752
Depth,0,29,1629057773652.533,858.915
Depth,0,30,1629057773686.691,891.541
Depth,0,31,1629057773720.833,925.073
Depth,0,32,1629057773754.902,958.345
Depth,0,33,1629057773788.746,991.708
Depth,0,34,1629057773822.454,1024.897
Depth,0,35,1629057773856.055,1059.748
Depth,0,36,1629057773889.441,1092.739
Depth,0,37,1629057773922.692,1128.433
Depth,0,38,1629057773955.922,1159.369
Depth,0,39,1629057773988.953,1192.950
Depth,0,40,1629057774021.833,1226.383
Depth,0,41,1629057774054.766,1258.331
Depth,0,42,1629057774087.514,1293.242
Depth,0,43,1629057774120.084,1325.049
Depth,0,44,1629057774152.784,1359.477
Depth,0,45,1629057774185.316,1393.086
Depth,0,46,1629057774217.679,1425.169
Depth,0,47,1629057774249.873,1459.832
Depth,0,48,1629057774281.897,1493.251
Depth,0,49,1629057774313.753,1525.268
Depth,0,50,1629057774346.180,1559.598
Depth,0,51,1629057774378.811,1593.124
Depth,0,52,1629057774411.323,1625.477
Depth,0,53,1629057774443.717,1660.156
Depth,0,54,1629057774475.992,1691.948
Depth,0,55,1629057774508.149,1726.735
Depth,0,56,1629057774540.593,1759.837
Depth,0,57,1629057774573.441,1793.671
Depth,0,58,1629057774606.207,1825.228
Depth,0,59,1629057774638.893,1861.158
Depth,0,60,1629057774671.498,1893.346
Depth,0,61,1629057774704.021,1925.379
Depth,0,62,1629057774736.463,1960.056
Depth,0,63,1629057774768.825,1991.780
Depth,0,64,1629057774801.106,2025.141
Depth,0,65,1629057774833.306,2058.545
Depth,0,66,1629057774865.426,2093.692
Depth,0,67,1629057774897.464,2127.113
Depth,0,68,1629057774929.421,2158.897
Depth,0,69,1629057774961.298,2193.587
Depth,0,70,1629057774993.093,2225.273
Depth,0,71,1629057775024.807,2260.100
Depth,0,72,1629057775056.441,2291.877
Depth,0,73,1629057775087.994,2326.782
Depth,0,74,1629057775119.465,2358.853
Depth,0,75,1629057775150.856,2393.673
Depth,0,76,1629057775182.165,2426.504
Depth,0,77,1629057775213.394,2459.400
Depth,0,78,1629057775244.542,2493.107
Depth,0,79,1629057775275.609,2525.465
Depth,0,80,1629057775306.595,2560.330
Depth,0,81,1629057775337.500,2591.980
Depth,0,82,1629057775368.324,2626.255
Depth,0,83,1629057775399.068,2659.167
Depth,0,84,1629057775429.730,2692.841
Depth,0,85,1629057775460.312,2725.768
Depth,0,86,1629057775492.162,2760.026
Depth,0,87,1629057775525.385,2793.333
Depth,0,88,1629057775558.588,2825.415
Depth,0,89,1629057775591.770,2860.317
Depth,0,90,1629057775624.932,2891.929
Depth,0,91,1629057775658.074,2927.095
Depth,0,92,1629057775691.196,2958.981
Depth,0,93,1629057775724.297,2993.668
Depth,0,94,1629057775757.379,3025.295
Depth,0,95,1629057775790.439,3060.518
Depth,0,96,1629057775823.480,3093.689
Depth,0,97,1629057775856.500,3125.772
Depth,0,98,1629057775889.500,3159.356
Depth,0,99,1629057775922.480,3192.361
Depth,0,100,1629057775955.440,3226.934
Depth,0,101,1629057775988.379,3259.180
Depth,0,102,1629057776021.297,3294.204
Depth,0,103,1629057776054.195,3325.743
Depth,0,104,1629057776087.073,3360.716
Depth,0,105,1629057776119.932,3393.256
Depth,0,106,1629057776152.769,3426.026
Depth,0,107,1629057776185.587,3460.678
Depth,0,108,1629057776218.384,3492.553
Depth,0,109,1629057776251.161,3527.053
Depth,0,110,1629057776283.917,3559.603
Depth,0,111,1629057776316.653,3593.436
Depth,0,112,1629057776349.369,3627.085
Depth,0,113,1629057776382.065,3659.636
Depth,0,114,1629057776414.740,3692.928
Depth,0,115,1629057776447.396,3726.391
Depth,0,116,1629057776480.083,3760.506
Depth,0,117,1629057776512.839,3792.463
Depth,0,118,1629057776545.574,3826.135
Depth,0,119,1629057776578.287,3859.469
Depth,0,120,1629057776610.978,3893.616
Depth,0,121,1629057776643.647,3925.805
Depth,0,122,1629057776676.294,3961.801
Depth,0,123,1629057776708.918,3993.807
Depth,0,124,1629057776741.521,4027.159
Depth,0,125,1629057776774.103,4059.100
Depth,0,126,1629057776806.662,4092.556
Depth,0,127,1629057776839.198,4127.051
Depth,0,128,1629057776871.714,4159.903
Depth,0,129,1629057776904.206,4193.776
Depth,0,130,1629057776936.677,4227.226
