Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480
Accel,Accel,MOTION_XYZ32F,63
Gyro,Gyro,MOTION_XYZ32F,200


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,6,1629057908929.099,36.205
Depth,0,7,1629057908970.386,57.734
Depth,0,8,1629057909012.866,91.330
Depth,0,9,1629057909055.172,124.773
Depth,0,10,1629057909095.582,159.241
Depth,0,11,1629057909136.364,192.523
Depth,0,12,1629057909177.518,225.967
Depth,0,13,1629057909219.044,258.346
Depth,0,14,1629057909258.395,292.491
Depth,0,15,1629057909296.693,325.664
Depth,0,16,1629057909334.831,358.959
Depth,0,17,1629057909372.809,393.113
Depth,0,18,1629057909410.631,424.762
Depth,0,19,1629057909448.154,458.394
Depth,0,20,1629057909485.500,491.950
Depth,0,21,1629057909522.670,524.475
Depth,0,22,1629057909559.665,557.449
Depth,0,23,1629057909596.484,590.964
Depth,0,24,1629057909633.126,624.139
Depth,0,25,1629057909669.637,657.661
Depth,0,26,1629057909705.974,691.204
Depth,0,27,1629057909742.135,724.503
Depth,0,28,1629057909778.123,757.663
Depth,0,29,1629057909813.935,791.057
Depth,0,30,1629057909849.573,824.835
Depth,0,31,1629057909885.167,860.266
Depth,0,32,1629057909920.706,891.178
Depth,0,33,1629057909956.084,925.152
Depth,0,34,1629057909991.300,957.732
Depth,0,35,1629057910026.357,990.970
Depth,0,36,1629057910061.254,1025.013
Depth,0,37,1629057910096.090,1059.910
Depth,0,38,1629057910131.078,1092.079
Depth,0,39,1629057910165.928,1125.463
Depth,0,40,1629057910200.495,1159.190
Depth,0,41,1629057910234.473,1191.322
Depth,0,42,1629057910268.272,1225.225
Depth,0,43,1629057910301.893,1257.916
Depth,0,44,1629057910335.336,1292.727
Depth,0,45,1629057910368.672,1325.010
Depth,0,46,1629057910401.911,1359.536
Depth,0,47,1629057910434.974,1392.592
Depth,0,48,1629057910467.874,1426.274
Depth,0,49,1629057910500.612,1459.694
Depth,0,50,1629057910533.175,1492.586
Depth,0,51,1629057910565.601,1524.848
Depth,0,52,1629057910597.987,1557.906
Depth,0,53,1629057910630.204,1593.174
Depth,0,54,1629057910662.286,1625.651
Depth,0,55,1629057910694.411,1658.212
Depth,0,56,1629057910726.375,1691.538
Depth,0,57,1629057910758.201,1724.846
Depth,0,58,1629057910790.134,1758.026
Depth,0,59,1629057910821.917,1792.414
Depth,0,60,1629057910853.549,1827.230
Depth,0,61,1629057910885.031,1861.090
Depth,0,62,1629057910916.363,1892.668
Depth,0,63,1629057910947.545,1924.928
Depth,0,64,1629057910979.580,1959.962
Depth,0,65,1629057911011.501,1991.476
Depth,0,66,1629057911043.310,2024.832
Depth,0,67,1629057911075.005,2059.385
Depth,0,68,1629057911106.587,2094.241
Depth,0,69,1629057911138.056,2124.963
Depth,0,70,1629057911169.411,2160.227
Depth,0,71,1629057911200.654,2192.793
Depth,0,72,1629057911231.783,2225.912
