Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480
Accel,Accel,MOTION_XYZ32F,63
Gyro,Gyro,MOTION_XYZ32F,200


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,7,1629056773138.589,39.333
Depth,0,8,1629056773175.740,56.595
Depth,0,9,1629056773213.629,91.372
Depth,0,10,1629056773252.010,123.042
Depth,0,11,1629056773290.125,157.177
Depth,0,12,1629056773328.712,188.975
Depth,0,13,1629056773367.772,224.834
Depth,0,14,1629056773407.304,256.529
Depth,0,15,1629056773445.818,289.859
Depth,0,16,1629056773482.848,322.961
Depth,0,17,1629056773519.886,356.626
Depth,0,18,1629056773556.544,390.730
Depth,0,19,1629056773592.595,423.242
Depth,0,20,1629056773628.532,456.339
Depth,0,21,1629056773664.281,488.349
Depth,0,22,1629056773699.653,521.851
Depth,0,23,1629056773734.868,555.577
Depth,0,24,1629056773769.915,588.643
Depth,0,25,1629056773804.728,622.315
Depth,0,26,1629056773839.372,655.276
Depth,0,27,1629056773873.847,688.620
Depth,0,28,1629056773908.193,721.816
Depth,0,29,1629056773942.368,755.348
Depth,0,30,1629056773976.367,790.199
Depth,0,31,1629056774010.320,822.453
Depth,0,32,1629056774044.107,855.408
Depth,0,33,1629056774077.726,888.515
Depth,0,34,1629056774111.180,921.690
Depth,0,35,1629056774144.753,955.168
Depth,0,36,1629056774178.784,988.727
Depth,0,37,1629056774212.708,1021.857
Depth,0,38,1629056774246.509,1057.185
Depth,0,39,1629056774280.146,1089.056
Depth,0,40,1629056774313.668,1121.946
Depth,0,41,1629056774347.078,1156.991
Depth,0,42,1629056774380.411,1189.674
Depth,0,43,1629056774413.625,1223.490
Depth,0,44,1629056774446.722,1255.234
Depth,0,45,1629056774479.702,1290.046
Depth,0,46,1629056774512.836,1321.898
Depth,0,47,1629056774546.330,1356.752
Depth,0,48,1629056774579.745,1390.049
Depth,0,49,1629056774613.068,1424.088
Depth,0,50,1629056774646.264,1455.542
Depth,0,51,1629056774679.373,1490.266
Depth,0,52,1629056774712.397,1523.426
Depth,0,53,1629056774745.363,1555.670
Depth,0,54,1629056774778.240,1589.852
Depth,0,55,1629056774811.030,1624.176
Depth,0,56,1629056774843.730,1656.048
Depth,0,57,1629056774876.343,1689.268
Depth,0,58,1629056774908.866,1724.241
Depth,0,59,1629056774941.301,1757.192
Depth,0,60,1629056774973.648,1788.919
Depth,0,61,1629056775005.907,1823.533
Depth,0,62,1629056775038.077,1855.567
Depth,0,63,1629056775070.159,1889.401
Depth,0,64,1629056775102.153,1922.274
Depth,0,65,1629056775134.058,1957.147
Depth,0,66,1629056775165.875,1990.330
Depth,0,67,1629056775197.603,2022.208
Depth,0,68,1629056775229.243,2055.766
Depth,0,69,1629056775260.795,2090.966
Depth,0,70,1629056775292.258,2123.185
Depth,0,71,1629056775323.633,2156.153
Depth,0,72,1629056775354.919,2189.091
Depth,0,73,1629056775386.116,2222.762
Depth,0,74,1629056775417.226,2256.923
Depth,0,75,1629056775448.247,2288.984
Depth,0,76,1629056775479.180,2322.726
Depth,0,77,1629056775510.025,2355.680
Depth,0,78,1629056775540.781,2390.356
Depth,0,79,1629056775571.448,2422.324
Depth,0,80,1629056775602.028,2457.200
Depth,0,81,1629056775632.519,2489.571
Depth,0,82,1629056775663.272,2524.183
Depth,0,83,1629056775696.552,2555.958
Depth,0,84,1629056775729.816,2590.406
Depth,0,85,1629056775763.062,2622.339
Depth,0,86,1629056775796.291,2657.114
Depth,0,87,1629056775829.504,2688.876
Depth,0,88,1629056775862.700,2723.935
Depth,0,89,1629056775895.880,2755.662
Depth,0,90,1629056775929.042,2790.748
Depth,0,91,1629056775962.188,2822.558
Depth,0,92,1629056775995.316,2856.477
Depth,0,93,1629056776028.428,2889.079
Depth,0,94,1629056776061.523,2923.550
Depth,0,95,1629056776094.601,2955.726
Depth,0,96,1629056776127.662,2990.766
Depth,0,97,1629056776160.706,3022.603
Depth,0,98,1629056776193.733,3058.018
Depth,0,99,1629056776226.743,3089.515
Depth,0,100,1629056776259.737,3123.592
Depth,0,101,1629056776292.713,3155.582
Depth,0,102,1629056776325.673,3190.755
Depth,0,103,1629056776358.616,3222.542
Depth,0,104,1629056776391.542,3255.848
Depth,0,105,1629056776424.452,3290.066
Depth,0,106,1629056776457.344,3323.950
Depth,0,107,1629056776490.219,3355.793
Depth,0,108,1629056776523.078,3390.276
Depth,0,109,1629056776555.920,3423.833
Depth,0,110,1629056776588.745,3456.087
Depth,0,111,1629056776621.553,3489.347
Depth,0,112,1629056776654.446,3523.576
Depth,0,113,1629056776687.216,3555.771
Depth,0,114,1629056776719.964,3590.901
Depth,0,115,1629056776752.691,3622.535
Depth,0,116,1629056776785.396,3656.537
Depth,0,117,1629056776818.079,3689.532
Depth,0,118,1629056776850.740,3724.269
Depth,0,119,1629056776883.378,3756.114
Depth,0,120,1629056776915.995,3791.113
Depth,0,121,1629056776948.590,3822.852
Depth,0,122,1629056776981.162,3857.570
Depth,0,123,1629056777013.713,3889.829
Depth,0,124,1629056777046.241,3923.819
Depth,0,125,1629056777078.748,3955.817
Depth,0,126,1629056777111.231,3990.905
Depth,0,127,1629056777143.693,4023.612
Depth,0,128,1629056777176.134,4058.003
Depth,0,129,1629056777208.552,4089.273
Depth,0,130,1629056777240.948,4124.140
Depth,0,131,1629056777273.323,4156.154
Depth,0,132,1629056777305.675,4190.847
Depth,0,133,1629056777338.005,4222.886
Depth,0,134,1629056777370.313,4257.559
Depth,0,135,1629056777402.599,4289.543
Depth,0,136,1629056777434.863,4324.663
Depth,0,137,1629056777467.105,4357.904
Depth,0,138,1629056777499.325,4390.645
Depth,0,139,1629056777531.522,4423.851
Depth,0,140,1629056777563.698,4457.860
Depth,0,141,1629056777595.852,4489.586
Depth,0,142,1629056777627.984,4524.292
Depth,0,143,1629056777660.960,4556.031
Depth,0,144,1629056777694.157,4591.254
Depth,0,145,1629056777727.353,4622.747
Depth,0,146,1629056777760.548,4657.895
Depth,0,147,1629056777793.742,4689.724
Depth,0,148,1629056777826.936,4724.151
Depth,0,149,1629056777860.127,4756.479
Depth,0,150,1629056777893.318,4791.253
Depth,0,151,1629056777926.508,4823.268
Depth,0,152,1629056777959.697,4857.661
Depth,0,153,1629056777992.884,4889.793
Depth,0,154,1629056778026.071,4924.203
Depth,0,155,1629056778059.256,4956.532
Depth,0,156,1629056778092.441,4991.149
Depth,0,157,1629056778125.625,5024.799
Depth,0,158,1629056778158.807,5056.392
Depth,0,159,1629056778191.989,5089.642
Depth,0,160,1629056778225.169,5123.522
Depth,0,161,1629056778258.349,5156.637
Depth,0,162,1629056778291.527,5191.375
Depth,0,163,1629056778324.704,5223.272
Depth,0,164,1629056778357.881,5258.081
Depth,0,165,1629056778391.056,5290.448
Depth,0,166,1629056778424.229,5325.317
Depth,0,167,1629056778457.402,5356.722
Depth,0,168,1629056778490.574,5390.980
Depth,0,169,1629056778523.745,5424.024
Depth,0,170,1629056778556.915,5457.791
Depth,0,171,1629056778590.084,5490.045
Depth,0,172,1629056778623.252,5524.334
Depth,0,173,1629056778656.574,5556.627
Depth,0,174,1629056778690.026,5591.126
Depth,0,175,1629056778723.483,5623.412
Depth,0,176,1629056778756.946,5657.851
Depth,0,177,1629056778790.413,5690.198
Depth,0,178,1629056778823.886,5724.511
Depth,0,179,1629056778857.364,5756.962
Depth,0,180,1629056778890.847,5791.506
Depth,0,181,1629056778924.336,5823.499
Depth,0,182,1629056778957.830,5857.824
Depth,0,183,1629056778991.329,5890.256
Depth,0,184,1629056779024.834,5924.570
Depth,0,185,1629056779058.344,5957.035
Depth,0,186,1629056779091.859,5991.572
Depth,0,187,1629056779125.380,6025.623
Depth,0,188,1629056779158.906,6056.677
Depth,0,189,1629056779192.437,6090.884
Depth,0,190,1629056779225.973,6124.698
Depth,0,191,1629056779259.515,6157.098
Depth,0,192,1629056779293.062,6191.808
Depth,0,193,1629056779326.613,6224.149
Depth,0,194,1629056779360.171,6257.971
Depth,0,195,1629056779393.734,6290.637
Depth,0,196,1629056779427.302,6324.355
Depth,0,197,1629056779460.875,6357.442
Depth,0,198,1629056779494.454,6391.130
Depth,0,199,1629056779528.038,6424.360
Depth,0,200,1629056779561.628,6457.952
Depth,0,201,1629056779595.222,6491.587
Depth,0,202,1629056779628.822,6525.226
Depth,0,203,1629056779662.260,6557.577
Depth,0,204,1629056779695.568,6591.048
Depth,0,205,1629056779728.876,6624.698
Depth,0,206,1629056779762.184,6658.637
Depth,0,207,1629056779795.493,6690.621
Depth,0,208,1629056779828.802,6724.760
Depth,0,209,1629056779862.112,6757.824
Depth,0,210,1629056779895.422,6790.249
Depth,0,211,1629056779928.733,6824.616
Depth,0,212,1629056779962.044,6858.315
Depth,0,213,1629056779995.356,6890.686
Depth,0,214,1629056780028.667,6923.341
Depth,0,215,1629056780061.980,6958.703
Depth,0,216,1629056780095.292,6991.889
Depth,0,217,1629056780128.605,7026.441
Depth,0,218,1629056780161.918,7057.496
Depth,0,219,1629056780195.231,7092.442
Depth,0,220,1629056780228.545,7123.731
Depth,0,221,1629056780261.860,7159.072
Depth,0,222,1629056780295.175,7191.802
Depth,0,223,1629056780328.490,7225.422
Depth,0,224,1629056780361.806,7258.211
Depth,0,225,1629056780395.122,7292.175
Depth,0,226,1629056780428.438,7324.922
Depth,0,227,1629056780461.755,7358.816
Depth,0,228,1629056780495.073,7391.929
Depth,0,229,1629056780528.390,7425.722
Depth,0,230,1629056780561.708,7456.882
Depth,0,231,1629056780595.026,7491.704
Depth,0,232,1629056780628.345,7523.796
Depth,0,233,1629056780661.644,7557.404
Depth,0,234,1629056780694.925,7591.781
Depth,0,235,1629056780728.539,7625.136
Depth,0,236,1629056780762.283,7657.317
Depth,0,237,1629056780796.032,7691.016
Depth,0,238,1629056780829.786,7725.059
Depth,0,239,1629056780863.545,7759.266
Depth,0,240,1629056780897.308,7791.585
Depth,0,241,1629056780931.076,7825.754
Depth,0,242,1629056780964.849,7857.326
Depth,0,243,1629056780998.626,7890.667
Depth,0,244,1629056781032.408,7925.191
Depth,0,245,1629056781066.195,7959.379
Depth,0,246,1629056781099.986,7991.794
Depth,0,247,1629056781133.782,8025.332
Depth,0,248,1629056781167.583,8057.130
Depth,0,249,1629056781201.389,8092.283
Depth,0,250,1629056781235.199,8123.978
Depth,0,251,1629056781269.014,8159.254
Depth,0,252,1629056781302.834,8191.957
Depth,0,253,1629056781336.658,8225.750
Depth,0,254,1629056781370.488,8258.295
Depth,0,255,1629056781404.321,8292.076
Depth,0,256,1629056781438.160,8324.387
Depth,0,257,1629056781472.003,8358.956
Depth,0,258,1629056781505.851,8391.993
Depth,0,259,1629056781539.703,8424.633
Depth,0,260,1629056781573.560,8457.358
Depth,0,261,1629056781607.422,8491.469
Depth,0,262,1629056781641.289,8525.263
Depth,0,263,1629056781675.160,8559.114
