Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480
Accel,Accel,MOTION_XYZ32F,63
Gyro,Gyro,MOTION_XYZ32F,200


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,4,1629056927563.551,22.494
Depth,0,5,1629056927601.622,43.444
Depth,0,6,1629056927640.846,80.690
Depth,0,7,1629056927681.220,111.419
Depth,0,8,1629056927721.863,144.392
Depth,0,9,1629056927761.666,176.613
Depth,0,10,1629056927802.034,211.992
Depth,0,11,1629056927842.966,245.030
Depth,0,12,1629056927884.462,276.600
Depth,0,13,1629056927923.809,311.749
Depth,0,14,1629056927961.928,344.428
Depth,0,15,1629056927999.965,380.924
Depth,0,16,1629056928037.461,410.417
Depth,0,17,1629056928074.480,444.588
Depth,0,18,1629056928111.309,477.094
Depth,0,19,1629056928147.833,510.686
Depth,0,20,1629056928184.021,544.428
Depth,0,21,1629056928219.989,577.834
Depth,0,22,1629056928255.728,611.235
Depth,0,23,1629056928291.225,644.253
Depth,0,24,1629056928326.498,677.981
Depth,0,25,1629056928361.567,711.327
Depth,0,26,1629056928396.474,744.503
Depth,0,27,1629056928431.162,782.467
Depth,0,28,1629056928465.648,812.067
Depth,0,29,1629056928500.061,845.002
Depth,0,30,1629056928534.267,878.600
Depth,0,31,1629056928568.270,911.816
Depth,0,32,1629056928602.263,944.297
Depth,0,33,1629056928636.063,978.440
Depth,0,34,1629056928669.668,1013.267
Depth,0,35,1629056928703.079,1044.311
Depth,0,36,1629056928736.584,1077.212
Depth,0,37,1629056928770.621,1112.088
Depth,0,38,1629056928804.531,1143.471
Depth,0,39,1629056928838.312,1178.961
Depth,0,40,1629056928871.956,1211.012
Depth,0,41,1629056928905.467,1244.718
Depth,0,42,1629056928938.851,1277.239
Depth,0,43,1629056928972.176,1311.136
Depth,0,44,1629056929005.371,1345.303
Depth,0,45,1629056929038.435,1377.088
Depth,0,46,1629056929071.502,1412.338
Depth,0,47,1629056929104.443,1444.491
Depth,0,48,1629056929137.247,1476.797
Depth,0,49,1629056929170.110,1510.398
Depth,0,50,1629056929202.854,1545.173
Depth,0,51,1629056929235.478,1578.250
Depth,0,52,1629056929267.983,1610.454
Depth,0,53,1629056929300.368,1645.070
Depth,0,54,1629056929332.633,1677.194
Depth,0,55,1629056929364.779,1711.410
Depth,0,56,1629056929396.805,1743.495
Depth,0,57,1629056929428.712,1777.214
Depth,0,58,1629056929460.499,1811.746
Depth,0,59,1629056929492.166,1845.250
Depth,0,60,1629056929523.714,1877.086
Depth,0,61,1629056929555.143,1912.932
Depth,0,62,1629056929586.452,1945.422
Depth,0,63,1629056929617.641,1978.086
Depth,0,64,1629056929648.711,2010.218
Depth,0,65,1629056929679.661,2043.947
Depth,0,66,1629056929710.492,2078.642
Depth,0,67,1629056929741.203,2110.827
Depth,0,68,1629056929771.794,2145.065
Depth,0,69,1629056929802.266,2177.121
Depth,0,70,1629056929832.618,2212.035
Depth,0,71,1629056929862.851,2244.900
Depth,0,72,1629056929892.963,2278.081
Depth,0,73,1629056929922.957,2311.930
Depth,0,74,1629056929952.831,2344.148
Depth,0,75,1629056929982.586,2377.303
Depth,0,76,1629056930012.220,2410.239
Depth,0,77,1629056930041.736,2445.308
Depth,0,78,1629056930070.956,2477.430
Depth,0,79,1629056930104.292,2511.737
Depth,0,80,1629056930137.618,2544.940
Depth,0,81,1629056930170.932,2577.955
Depth,0,82,1629056930204.235,2610.563
Depth,0,83,1629056930237.528,2643.743
Depth,0,84,1629056930270.809,2678.472
Depth,0,85,1629056930304.079,2710.473
Depth,0,86,1629056930337.338,2745.356
Depth,0,87,1629056930370.587,2778.270
Depth,0,88,1629056930403.825,2812.048
Depth,0,89,1629056930437.052,2845.829
Depth,0,90,1629056930470.268,2878.858
Depth,0,91,1629056930503.473,2910.921
Depth,0,92,1629056930536.667,2944.106
Depth,0,93,1629056930569.850,2978.967
Depth,0,94,1629056930603.022,3010.734
Depth,0,95,1629056930636.183,3044.736
Depth,0,96,1629056930669.333,3077.531
Depth,0,97,1629056930702.473,3112.040
Depth,0,98,1629056930735.600,3145.318
Depth,0,99,1629056930768.718,3179.113
Depth,0,100,1629056930801.824,3212.232
Depth,0,101,1629056930834.920,3244.089
Depth,0,102,1629056930868.005,3278.793
Depth,0,103,1629056930901.078,3311.105
Depth,0,104,1629056930934.141,3345.135
Depth,0,105,1629056930967.193,3377.532
Depth,0,106,1629056931000.234,3412.189
