Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480
Accel,Accel,MOTION_XYZ32F,63
Gyro,Gyro,MOTION_XYZ32F,200


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Depth,0,6,1629056886255.351,30.014
Depth,0,7,1629056886292.052,49.238
Depth,0,8,1629056886329.045,84.139
Depth,0,9,1629056886366.223,117.159
Depth,0,10,1629056886402.866,150.632
Depth,0,11,1629056886439.608,183.923
Depth,0,12,1629056886476.388,216.905
Depth,0,13,1629056886512.790,250.836
Depth,0,14,1629056886549.198,284.295
Depth,0,15,1629056886585.611,316.172
Depth,0,16,1629056886622.031,349.779
Depth,0,17,1629056886658.457,383.551
Depth,0,18,1629056886694.888,416.987
Depth,0,19,1629056886731.450,450.524
Depth,0,20,1629056886768.092,483.239
Depth,0,21,1629056886804.763,516.001
Depth,0,22,1629056886841.462,549.424
Depth,0,23,1629056886878.191,582.729
Depth,0,24,1629056886914.949,616.935
Depth,0,25,1629056886951.624,649.950
Depth,0,26,1629056886988.178,682.666
Depth,0,27,1629056887024.739,715.882
Depth,0,28,1629056887061.304,749.360
Depth,0,29,1629056887098.108,782.638
Depth,0,30,1629056887133.539,815.986
Depth,0,31,1629056887168.880,849.729
Depth,0,32,1629056887204.128,882.726
Depth,0,33,1629056887239.031,915.802
Depth,0,34,1629056887273.673,950.118
Depth,0,35,1629056887308.193,983.569
Depth,0,36,1629056887342.521,1019.085
Depth,0,37,1629056887376.664,1049.722
Depth,0,38,1629056887410.675,1082.913
Depth,0,39,1629056887444.558,1115.844
Depth,0,40,1629056887478.312,1149.778
Depth,0,41,1629056887511.934,1183.067
Depth,0,42,1629056887545.460,1215.621
Depth,0,43,1629056887578.906,1250.212
Depth,0,44,1629056887612.225,1282.676
Depth,0,45,1629056887645.454,1315.997
Depth,0,46,1629056887678.657,1349.476
Depth,0,47,1629056887711.741,1382.707
Depth,0,48,1629056887744.742,1416.979
Depth,0,49,1629056887777.746,1449.105
Depth,0,50,1629056887810.637,1482.574
Depth,0,51,1629056887843.450,1515.899
Depth,0,52,1629056887876.295,1549.192
Depth,0,53,1629056887909.034,1582.528
Depth,0,54,1629056887941.666,1615.869
Depth,0,55,1629056887974.192,1649.161
Depth,0,56,1629056888006.612,1682.560
Depth,0,57,1629056888038.925,1715.910
Depth,0,58,1629056888071.131,1749.336
Depth,0,59,1629056888103.230,1783.000
Depth,0,60,1629056888135.224,1815.918
Depth,0,61,1629056888167.112,1849.203
Depth,0,62,1629056888198.893,1882.631
Depth,0,63,1629056888230.567,1915.828
Depth,0,64,1629056888262.136,1949.662
Depth,0,65,1629056888293.597,1982.687
Depth,0,66,1629056888324.953,2016.610
Depth,0,67,1629056888356.202,2050.231
Depth,0,68,1629056888387.344,2083.014
Depth,0,69,1629056888418.381,2115.953
Depth,0,70,1629056888449.311,2149.362
Depth,0,71,1629056888480.134,2182.811
Depth,0,72,1629056888510.850,2216.251
Depth,0,73,1629056888541.461,2250.223
Depth,0,74,1629056888571.965,2283.337
Depth,0,75,1629056888602.363,2316.525
Depth,0,76,1629056888632.654,2349.643
Depth,0,77,1629056888662.839,2382.796
Depth,0,78,1629056888692.918,2415.995
Depth,0,79,1629056888722.890,2449.573
Depth,0,80,1629056888752.756,2482.707
Depth,0,81,1629056888783.332,2517.985
Depth,0,82,1629056888816.697,2549.630
Depth,0,83,1629056888850.056,2582.878
Depth,0,84,1629056888883.406,2616.199
Depth,0,85,1629056888916.750,2649.480
Depth,0,86,1629056888950.086,2682.775
Depth,0,87,1629056888983.415,2716.077
Depth,0,88,1629056889016.736,2750.614
Depth,0,89,1629056889050.051,2783.221
Depth,0,90,1629056889083.357,2816.280
Depth,0,91,1629056889116.657,2849.451
Depth,0,92,1629056889149.949,2883.018
Depth,0,93,1629056889183.234,2916.220
Depth,0,94,1629056889216.512,2949.792
Depth,0,95,1629056889249.782,2983.117
Depth,0,96,1629056889283.045,3017.153
Depth,0,97,1629056889316.300,3050.530
Depth,0,98,1629056889349.548,3083.538
Depth,0,99,1629056889382.788,3116.258
Depth,0,100,1629056889416.021,3149.750
Depth,0,101,1629056889449.248,3183.066
Depth,0,102,1629056889482.466,3216.454
Depth,0,103,1629056889515.678,3250.217
Depth,0,104,1629056889548.882,3282.906
Depth,0,105,1629056889582.078,3316.453
Depth,0,106,1629056889615.268,3350.098
Depth,0,107,1629056889648.450,3384.176
